word,score
statement,-0.00021026273955223788
plan,-0.00021067274103358106
discount,-0.0002107301008487288
check,-0.0002110529654558492
news,-0.0002117812721758819
rise,-0.00021242967545065074
individual,-0.0002134736214834803
purchases,-0.0002152396465011015
trend,-0.00021548198562649771
investments,-0.00021558677555497807
building,-0.00021622165012446365
existing,-0.00021756332425665757
design,-0.00021844211286733934
obligation,-0.00022187283513567122
build,-0.00022309917257310906
previous,-0.00022488852489038711
major,-0.0002249186027482015
particularly,-0.0002250703918535955
infrastructure,-0.00022603383472168036
record,-0.00022663599442697277
capabilities,-0.00022692118338473637
volume,-0.0002285522379816106
manner,-0.000229199088063497
comparison,-0.0002311051601051773
resources,-0.00023161223721556288
projects,-0.00023254299872649395
estimates,-0.00023449851851659395
countries,-0.00023576889634184317
base,-0.0002358411284012439
true,-0.00023603951040825912
pays,-0.00023771677059299774
platform,-0.00023890509536563559
overall,-0.00024000494958446435
fundamentals,-0.00024067495903831138
bit,-0.00024076013162270985
rising,-0.00024130748980806817
sector,-0.00024224462731704016
technologies,-0.00024246332364248865
possible,-0.0002425709369999205
developments,-0.00024352068168535234
living,-0.00024359956215551517
certainly,-0.00024366129994289772
identified,-0.00024430399902524547
portfolio,-0.00024710144969009924
closed,-0.0002471143764448303
institutions,-0.0002485928463501068
buy,-0.0002497942648958039
significantly,-0.00025354409209327655
provide,-0.00025589170616342494
leader,-0.00026059040815061893
joining,-0.00026107821201430383
quarterly,-0.00026166076421381504
reasonable,-0.0002631659138907886
prospects,-0.0002638687245617841
product,-0.0002641112156511288
concerning,-0.0002649100423378667
single,-0.0002661832621058636
groups,-0.00026688572561721065
focused,-0.0002673289957214114
makes,-0.0002686753119325712
state,-0.0002692406520953963
forward,-0.0002701657918304984
center,-0.0002714313189068924
address,-0.00027160291565134773
drive,-0.00027232514020976065
hedge,-0.00027296020194110077
profitability,-0.0002754878860535735
improve,-0.0002756702948801887
support,-0.0002762571599129
past,-0.0002785962644947234
deliver,-0.00027866118351566066
events,-0.0002790294844110136
health,-0.0002793889183831371
guidance,-0.00027958567428535075
acquisition,-0.000279671346398356
starting,-0.00028075805440372576
lost,-0.0002827228706898591
significant,-0.0002835367273287667
meaning,-0.00028424114778904854
safety,-0.0002849698888334697
individuals,-0.00028534534849635455
good,-0.000285676789629125
want,-0.00028666975196510827
insurance,-0.0002877775477688621
needs,-0.00028793493100799547
relative,-0.00029088772885261594
professional,-0.00029089841050794696
working,-0.00029285530798113865
choice,-0.0002949410367926508
ceo,-0.00029498809778637984
increases,-0.0002955675680157667
fair,-0.00029570650338788104
impact,-0.0002975617126028303
decrease,-0.00029810265663543636
north,-0.00029875359827007206
cost,-0.0002993674541153129
combined,-0.0003001898724422666
better,-0.0003020311775982742
sec,-0.00030322543474141513
expansion,-0.00030470285316165304
industries,-0.00030508648025867423
equipment,-0.0003060882227502515
businesses,-0.00030613199371653946
